MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Mar-14,4520.63,3.51,MOMENTUM,MOMENTUM,MOMENTUM,7343.35,5049.5,6735.53876615206
Apr-14,4661.28,7.34,MOMENTUM,MOMENTUM,MOMENTUM,7571.82,5206.61,6945.101045626222
May-14,4885.47,9.07,MOMENTUM,MOMENTUM,MOMENTUM,7936.0,5457.02,7279.134230377825
Jun-14,5383.77,19.09,MOMENTUM,MOMENTUM,MOMENTUM,8745.44,6013.62,8021.579192069796
Jul-14,5432.21,16.54,MOMENTUM,MOMENTUM,MOMENTUM,8824.12,6067.73,8093.7526497145045
Aug-14,5791.98,18.56,MOMENTUM,MOMENTUM,MOMENTUM,9408.54,6469.59,8629.794038171096
Sep-14,5955.13,10.61,MOMENTUM,MOMENTUM,MOMENTUM,9673.56,6651.82,8872.880322538034
Oct-14,6304.43,16.06,MOMENTUM,MOMENTUM,MOMENTUM,10240.97,7041.99,9393.32187405119
Nov-14,6608.72,14.1,MOMENTUM,MOMENTUM,MOMENTUM,10735.26,7381.88,9846.700516221066
Dec-14,6523.25,9.54,MOMENTUM,MOMENTUM,MOMENTUM,10596.42,7286.41,9719.353996301714
Jan-15,7147.3,13.37,MOMENTUM,MOMENTUM,MOMENTUM,11610.13,7983.47,10649.160896449965
Feb-15,7199.22,8.94,MOMENTUM,MOMENTUM,MOMENTUM,11694.47,8041.46,10726.519400184756
Mar-15,7240.99,11.0,MOMENTUM,MOMENTUM,MOMENTUM,11762.32,8088.12,10788.754852823475
Apr-15,6978.46,-2.36,CASH,CASH,CASH,11762.32,8088.12,10788.754852823475
May-15,7309.87,1.54,CASH,CASH,CASH,11762.32,8088.12,10788.754852823475
Jun-15,7275.69,0.48,CASH,CASH,CASH,11762.32,8088.12,10788.754852823475
Jul-15,7784.57,11.55,CASH,MOMENTUM,MOMENTUM,12585.01,8088.12,11543.347416484765
Aug-15,7423.38,1.55,CASH,MOMENTUM,MOMENTUM,12001.09,8088.12,11007.756927432687
Sep-15,7448.31,2.37,CASH,MOMENTUM,MOMENTUM,12041.39,8088.12,11044.724370861542
Oct-15,7457.37,-4.2,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Nov-15,7193.69,-3.09,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Dec-15,7271.69,-2.37,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Jan-16,6851.54,-8.12,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Feb-16,6303.02,-12.38,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Mar-16,6923.56,-4.79,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
Apr-16,7130.6,4.07,CASH,CASH,CASH,12041.39,8088.12,11044.724370861542
May-16,7291.89,15.69,MOMENTUM,MOMENTUM,MOMENTUM,12313.76,8271.07,11294.549574038872
Jun-16,7500.17,8.33,MOMENTUM,MOMENTUM,MOMENTUM,12665.48,8507.32,11617.158497826918
Jul-16,8198.0,14.97,MOMENTUM,MOMENTUM,MOMENTUM,13843.9,9298.85,12698.040893097766
Aug-16,8467.46,16.12,MOMENTUM,MOMENTUM,MOMENTUM,14298.93,9604.5,13115.412703179994
Sep-16,8430.75,12.41,MOMENTUM,MOMENTUM,MOMENTUM,14236.94,9562.86,13058.55187356477
Oct-16,8584.59,4.72,MOMENTUM,MOMENTUM,MOMENTUM,14496.73,9737.35,13296.83762752844
Nov-16,8241.4,-2.67,CASH,CASH,CASH,14496.73,9737.35,13296.83762752844
Dec-16,7950.03,-5.7,CASH,CASH,CASH,14496.73,9737.35,13296.83762752844
Jan-17,8961.85,4.39,CASH,CASH,CASH,14496.73,9737.35,13296.83762752844
Feb-17,9283.76,12.65,MOMENTUM,MOMENTUM,MOMENTUM,15017.45,10087.12,13774.46055144233
Mar-17,9704.96,22.07,MOMENTUM,MOMENTUM,MOMENTUM,15698.79,10544.77,14399.401608111984
Apr-17,10215.5,13.99,MOMENTUM,MOMENTUM,MOMENTUM,16524.64,11099.49,15156.897826231945
May-17,10180.23,9.66,MOMENTUM,MOMENTUM,MOMENTUM,16467.59,11061.17,15104.56717317226
Jun-17,10061.85,3.68,MOMENTUM,MOMENTUM,MOMENTUM,16276.1,10932.54,14928.92490752992
Jul-17,10861.3,6.32,MOMENTUM,MOMENTUM,MOMENTUM,17569.29,11801.17,16115.081431163724
Aug-17,11280.84,10.81,MOMENTUM,MOMENTUM,MOMENTUM,18247.94,12257.02,16737.55951975629
